test_name,library,max,mean,median,min,stddev,warmup,iterations,checkKeys,ignoreUndefined,index,evalFunctions,cacheFunctions,allowObjectSmallerThanBufferSize
decimal128_singleFieldDocument._serialize,bson@6.2.0,6.926413293654206,5.908727494881312,6.295882792588539,0.06472020830532202,1.1316861250704409,1000,1000,1,0,-,-,-,-
decimal128_singleElementArray._serialize,bson@6.2.0,7.197481107096653,5.877643710768839,5.982981922116682,0.32110464547384787,1.1165313958853793,1000,1000,1,0,-,-,-,-
decimal128_array_100._serialize,bson@6.2.0,48.13632631229888,46.31908370242451,47.43690166963066,6.714919374541974,3.775457122238397,1000,1000,1,0,-,-,-,-
decimal128_array_10._serialize,bson@6.2.0,30.8369800940744,24.017780729275618,28.044515129534613,0.8535867482297743,6.32794618455815,1000,1000,1,0,-,-,-,-
decimal128_array_1000._serialize,bson@6.2.0,51.88973388763206,50.0207893345826,51.16449811240754,31.847289023331232,3.3234221468178737,1000,1000,1,0,-,-,-,-
decimal128_singleFieldDocument._deserialize,bson@6.2.0,7.257366064669623,6.316458916505687,6.880725644662417,0.058911466049948305,1.2427854268532645,1000,1000,-,-,0,0,0,0
decimal128_singleElementArray._deserialize,bson@6.2.0,6.623865368718461,5.632700934963672,6.279430645078209,0.14610004462973647,1.0899825108321188,1000,1000,-,-,0,0,0,0
decimal128_array_100._deserialize,bson@6.2.0,38.02923722353495,35.96607666829876,37.495660186673504,8.31127229593927,4.588316967009109,1000,1000,-,-,0,0,0,0
decimal128_array_10._deserialize,bson@6.2.0,28.3005646194627,27.016611737368297,27.720891327085003,0.9458754211381861,2.758565708591757,1000,1000,-,-,0,0,0,0
decimal128_array_1000._deserialize,bson@6.2.0,39.743926305121605,37.37689163391635,38.041421601875086,12.115602257588602,3.448490020557356,1000,1000,-,-,0,0,0,0
decimal128_singleFieldDocument._serialize,bson@5.5.1,6.762450081874292,5.726814723509712,6.211986354609665,0.05922679439293715,1.1071320508144977,1000,1000,1,0,-,-,-,-
decimal128_singleElementArray._serialize,bson@5.5.1,7.4470764514540555,6.001712666653693,6.124975617438395,0.06856461942914212,1.1643351173238712,1000,1000,1,0,-,-,-,-
decimal128_array_100._serialize,bson@5.5.1,47.634912643433765,46.11613123279877,46.96973034666129,6.6521646901881715,3.6702078680666155,1000,1000,1,0,-,-,-,-
decimal128_array_10._serialize,bson@5.5.1,30.457653800751206,23.849876666260418,27.404730547840444,0.7887568657185827,6.230269893010509,1000,1000,1,0,-,-,-,-
decimal128_array_1000._serialize,bson@5.5.1,48.970478149195024,47.29041878122371,48.15211076656196,31.28545312748464,3.019957074025112,1000,1000,1,0,-,-,-,-
decimal128_singleFieldDocument._deserialize,bson@5.5.1,7.062975740672526,6.096640621579867,6.626181710467853,0.04839499813735117,1.1786299110556908,1000,1000,-,-,0,0,0,0
decimal128_singleElementArray._deserialize,bson@5.5.1,6.700166134185303,5.708854440502353,6.3846886656983735,0.133100961024147,1.1270428560136787,1000,1000,-,-,0,0,0,0
decimal128_array_100._deserialize,bson@5.5.1,37.69501166921483,35.81689028381059,37.22736817859446,8.105734850273807,4.54952880169855,1000,1000,-,-,0,0,0,0
decimal128_array_10._deserialize,bson@5.5.1,26.848306876096252,25.673330483857363,26.278315854448937,1.0479637736267067,2.3892376448651538,1000,1000,-,-,0,0,0,0
decimal128_array_1000._deserialize,bson@5.5.1,39.581068652291776,36.05613719788523,36.4223097805285,11.921641047843734,3.465627424081825,1000,1000,-,-,0,0,0,0
decimal128_singleFieldDocument._serialize,bson@4.7.2,7.729506536386846,6.963881877557581,7.402869639557652,0.2452408240976668,1.1578831570686277,1000,1000,1,0,-,-,-,-
decimal128_singleElementArray._serialize,bson@4.7.2,7.181354913789645,6.195268843096666,6.496796712714094,0.2855230846673135,1.0053329031676024,1000,1000,1,0,-,-,-,-
decimal128_array_100._serialize,bson@4.7.2,48.06238592772642,46.502062512037256,47.39034149420475,6.7868167501148395,3.610210503170637,1000,1000,1,0,-,-,-,-
decimal128_array_10._serialize,bson@4.7.2,19.346211862409007,17.72722422121341,18.561674121268467,0.42581218140898136,2.0359645391422863,1000,1000,1,0,-,-,-,-
decimal128_array_1000._serialize,bson@4.7.2,51.81859731320447,49.722011343204215,50.93745847757076,31.913707429866253,3.542590795919407,1000,1000,1,0,-,-,-,-
decimal128_singleFieldDocument._deserialize,bson@4.7.2,7.211483549744784,6.227184941858161,6.867933265627895,0.06846540326764346,1.3004448880873651,1000,1000,-,-,0,0,0,0
decimal128_singleElementArray._deserialize,bson@4.7.2,6.497445321198626,5.823261293724142,6.284980809901377,0.0886163954991194,0.9536691902149406,1000,1000,-,-,0,0,0,0
decimal128_array_100._deserialize,bson@4.7.2,33.91924593670214,32.19424711453735,33.49470008438833,8.23788311708687,3.8524050961308802,1000,1000,-,-,0,0,0,0
decimal128_array_10._deserialize,bson@4.7.2,26.497795060316424,25.10933112341733,25.82695590320697,0.9201509212113942,2.4920435708968114,1000,1000,-,-,0,0,0,0
decimal128_array_1000._deserialize,bson@4.7.2,35.447078412328466,32.40876544515359,32.85545249150017,11.634055251107046,2.87861149849205,1000,1000,-,-,0,0,0,0
decimal128_singleFieldDocument._serialize,bson-ext@4.0.2,3.7008564705882354,3.321855529487535,3.50569891627534,0.05490244465638043,0.4549636862991158,1000,1000,1,0,-,-,-,-
decimal128_singleElementArray._serialize,bson-ext@4.0.2,4.622936933833913,4.179755647074965,4.416836652927578,0.30025245838378356,0.5501060901347261,1000,1000,1,0,-,-,-,-
decimal128_array_100._serialize,bson-ext@4.0.2,13.13253189922445,12.674782090687476,12.821619851972475,4.583932857631293,0.6293216910061913,1000,1000,1,0,-,-,-,-
decimal128_array_10._serialize,bson-ext@4.0.2,9.82004953022979,9.28933657018844,9.55924472080456,1.4614726095232864,0.7504569274124647,1000,1000,1,0,-,-,-,-
decimal128_array_1000._serialize,bson-ext@4.0.2,13.929167394766104,13.51590145581608,13.567231592421027,11.361147326185314,0.34300626186039357,1000,1000,1,0,-,-,-,-
decimal128_singleFieldDocument._deserialize,bson-ext@4.0.2,5.314431064065676,4.885327015504847,5.124933133929424,1.2071821267103986,0.6345061520114398,1000,1000,-,-,0,0,0,0
decimal128_singleElementArray._deserialize,bson-ext@4.0.2,5.744054351605672,5.239859083954294,5.576836664312129,1.0437395311763362,0.7223038099421263,1000,1000,-,-,0,0,0,0
decimal128_array_100._deserialize,bson-ext@4.0.2,10.760659114779463,9.484811428176224,9.779652672696255,4.11320677892579,0.9849013537397404,1000,1000,-,-,0,0,0,0
decimal128_array_10._deserialize,bson-ext@4.0.2,10.255624172472096,9.356827367894507,9.73528439445224,0.6150135801303172,1.0452796057826217,1000,1000,-,-,0,0,0,0
decimal128_array_1000._deserialize,bson-ext@4.0.2,12.475395936723821,11.465607512366768,12.003725814492668,4.838292295028868,1.6787659346973098,1000,1000,-,-,0,0,0,0
